NDC,ATC
aripiprazole 10 MG Disintegrating Oral Tablet [Abilify],ANTIPSYCHOTICS
Indomethacin 5 MG/ML Oral Suspension [Indocin],OTHER CARDIAC PREPARATIONS in ATC
iloperidone 6 MG Oral Tablet [Fanapt],ANTIPSYCHOTICS
iloperidone 2 MG Oral Tablet [Fanapt],ANTIPSYCHOTICS
Dantrolene Sodium 0.333 MG/ML Injectable Solution [Revonto],ALL OTHER THERAPEUTIC PRODUCTS
24 HR quetiapine 50 MG Extended Release Oral Tablet,ANTIPSYCHOTICS
pseudoephedrine hydrochloride 6 MG/ML Oral Solution,NASAL DECONGESTANTS FOR SYSTEMIC USE
{84 (cabozantinib 20 MG Oral Capsule [Cometriq]) } Pack [Cometriq 60 MG Daily Dose Carton],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
amoxicillin 250 MG / clavulanate 125 MG Oral Tablet,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
hydrocortisone valerate 2 MG/ML Topical Cream,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
4 ML diazepam 5 MG/ML Rectal Gel [Diastat],ANXIOLYTICS
cromolyn sodium 5.2 MG/ACTUAT Metered Dose Nasal Spray,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
hydrochlorothiazide 50 MG Oral Tablet,"LOW-CEILING DIURETICS, THIAZIDES"
Terbinafine hydrochloride 10 MG/ML Topical Solution [Lamisil],ANTIFUNGALS FOR SYSTEMIC USE
clotrimazole 10 MG/ML Topical Solution,ANTIFUNGALS FOR TOPICAL USE
etodolac 300 MG Oral Capsule,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
Flutamide 125 MG Oral Capsule [Eulexin],HORMONE ANTAGONISTS AND RELATED AGENTS
tigecycline 50 MG Injection,Tetracycline antibiotics
avibactam 500 MG / ceftazidime 2000 MG Injection [Avycaz],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
pyrimethamine 25 MG Oral Tablet [Daraprim],ANTIMALARIALS
10 ML cladribine 1 MG/ML Injection,ANTIMETABOLITES
Dextroamphetamine 5 MG Extended Release Capsule [Dexedrine Spansule Capsules],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
0.5 ML meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML Injection [Menomune A/C/Y/W-135],BACTERIAL VACCINES
nefazodone hydrochloride 150 MG Oral Tablet,ANTIDEPRESSANTS
168 HR Clonidine Hydrochloride 0.00833 MG/HR Transdermal Patch [Catapres-TTS-2],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
Ceftazidime 1000 MG Injection [Fortaz],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
cefepime 160 MG/ML Injectable Solution [Maxipime],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
Digoxin 0.05 MG/ML Oral Solution,CARDIAC GLYCOSIDES
Bupivacaine Hydrochloride 2.5 MG/ML / Epinephrine 0.005 MG/ML Injectable Solution [Sensorcaine with Epinephrine 0.25/1:200000],LOCAL ANESTHETICS
10 ML ganciclovir 50 MG/ML Injection,DIRECT ACTING ANTIVIRALS
etoposide 100 MG Injection [Etopophos],"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
24 HR nitroglycerin 0.6 MG/HR Transdermal System,VASODILATORS USED IN CARDIAC DISEASES
doxylamine succinate 25 MG Oral Tablet [Unisom],ANTIHISTAMINES FOR SYSTEMIC USE
8 ML Methotrexate 25 MG/ML Injection,ANTIMETABOLITES
DIAZOXIDE POWDER,ALL OTHER THERAPEUTIC PRODUCTS
acarbose 50 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
5 ML levocarnitine 200 MG/ML Injection [Carnitor],OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
sunitinib 25 MG Oral Capsule [Sutent],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
Aluminum Hydroxide 64 MG/ML Oral Suspension,ANTACIDS
Hydroxyzine Hydrochloride 2 MG/ML Oral Solution,ANXIOLYTICS
cyclophosphamide 25 MG Oral Capsule,ALKYLATING AGENTS
"antithrombin III, human 1 UNT Injection [Thrombate III]",ANTITHROMBOTIC AGENTS
{2 (levonorgestrel 0.75 MG Oral Tablet) } Pack [Plan B],HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
lopinavir 80 MG/ML / ritonavir 20 MG/ML Oral Solution [Kaletra],DIRECT ACTING ANTIVIRALS
10 ML rituximab 10 MG/ML Injection [Rituxan],OTHER ANTINEOPLASTIC AGENTS in ATC
stavudine 15 MG Oral Capsule [Zerit],DIRECT ACTING ANTIVIRALS
stavudine 20 MG Oral Capsule,DIRECT ACTING ANTIVIRALS
pembrolizumab 50 MG Injection [Keytruda],OTHER ANTINEOPLASTIC AGENTS in ATC
Tretinoin 1 MG/ML Topical Cream,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
20 ML potassium acetate 2 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
paclitaxel 100 MG Injection [Abraxane],"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
ferric citrate 1000 MG Oral Tablet [Auryxia],IRON ANTIANEMIC PREPARATIONS
estradiol 0.1 MG/ML Vaginal Cream [Estrace],"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM"
Ropivacaine hydrochloride 5 MG/ML Injectable Solution [Naropin],LOCAL ANESTHETICS
tapentadol 50 MG Oral Tablet [Nucynta],OPIOID ANALGESICS
rocuronium bromide 10 MG/ML Injectable Solution [Zemuron],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
Octreotide 30 MG Injection [Sandostatin],HYPOTHALAMIC HORMONES
24 HR diltiazem hydrochloride 300 MG Extended Release Oral Capsule [Taztia],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
SM POVIDONE-IODINE 10% SOLN,ANTISEPTICS AND DISINFECTANTS
tacrolimus 0.001 MG/MG Topical Ointment,OTHER DERMATOLOGICAL PREPARATIONS in ATC
1 ML methylene blue 10 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
5000 MG Testosterone 0.01 MG/MG Topical Gel [Androgel],ANDROGENS
uridine triacetate 10000 MG Oral Granules [Vistogard],OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
Mechlorethamine hydrochloride 10 MG Injection [Mustargen],ALKYLATING AGENTS
leflunomide 10 MG Oral Tablet [Arava],IMMUNOSUPPRESSANTS
2 ML gentamicin 10 MG/ML Injection,AMINOGLYCOSIDE ANTIBACTERIALS
vitamin E 22.6 MG/ML Oral Solution,OTHER PLAIN VITAMIN PREPARATIONS in ATC
Doxorubicin 2 MG/ML Injectable Solution [Adriamycin RDF],CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
Acetaminophen 32 MG/ML Oral Solution,OTHER ANALGESICS AND ANTIPYRETICS in ATC
loperamide hydrochloride 0.2 MG/ML Oral Solution,ANTIPROPULSIVES
vortioxetine 5 MG Oral Tablet [Trintellix],ANTIDEPRESSANTS
lidocaine hydrochloride 40 MG/ML Mucous Membrane Topical Solution,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
0.6 ML pegfilgrastim 10 MG/ML Injection [Neulasta],IMMUNOSTIMULANTS
mesalamine 400 MG Delayed Release Oral Capsule,INTESTINAL ANTIINFLAMMATORY AGENTS
"coagulation factor Xa (recombinant), inactivated-zhzo 200 MG Injection [Andexxa]",ALL OTHER THERAPEUTIC PRODUCTS
Lidocaine Hydrochloride 5 MG/ML Injectable Solution [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
Isradipine 2.5 MG Oral Capsule [Dynacirc],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
clobazam 2.5 MG/ML Oral Suspension,ANXIOLYTICS
anagrelide 0.5 MG Oral Capsule,OTHER ANTINEOPLASTIC AGENTS in ATC
Pimozide 2 MG Oral Tablet [Orap],ANTIPSYCHOTICS
meperidine hydrochloride 100 MG/ML Injectable Solution [Demerol],OPIOID ANALGESICS
triamcinolone acetonide 10 MG/ML Injectable Suspension [Kenalog],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
phenelzine 15 MG Oral Tablet [Nardil],ANTIDEPRESSANTS
Hydrocortisone 25 MG Rectal Suppository [Anusol HC],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
Pentostatin 10 MG Injection,OTHER ANTINEOPLASTIC AGENTS in ATC
1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
Vitamin E 1000 UNT Oral Capsule,OTHER PLAIN VITAMIN PREPARATIONS in ATC
Ketamine 50 MG/ML Injectable Solution,"ANESTHETICS, GENERAL"
levocarnitine 250 MG Oral Capsule,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
25 ML epirubicin hydrochloride 2 MG/ML Injection [Ellence],CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
doravirine 100 MG Oral Tablet [Pifeltro],DIRECT ACTING ANTIVIRALS
vancomycin 50 MG/ML Injectable Solution,OTHER ANTIBACTERIALS in ATC
liothyronine sodium 0.05 MG Oral Tablet [Cytomel],THYROID PREPARATIONS
terconazole 4 MG/ML Vaginal Cream [Terazol 7],"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
1 ML morphine sulfate 10 MG/ML Cartridge,OPIOID ANALGESICS
trifluoperazine 1 MG Oral Tablet,ANTIPSYCHOTICS
colestipol hydrochloride 5000 MG Granules for Oral Suspension [Colestid],"LIPID MODIFYING AGENTS, PLAIN"
potassium citrate 10 MEQ Extended Release Oral Tablet [Urocit-K],POTASSIUM SUPPLEMENTS
aripiprazole 300 MG Injection [Abilify],ANTIPSYCHOTICS
chloroquine phosphate 250 MG Oral Tablet,ANTIMALARIALS
Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe [Eligard],HORMONES AND RELATED AGENTS
30 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 10 MG/ML Injection [Xylocaine with Epinephrine],LOCAL ANESTHETICS
Chlorambucil 2 MG Oral Tablet [Leukeran],ALKYLATING AGENTS
venlafaxine 75 MG Oral Tablet [Effexor],ANTIDEPRESSANTS
lansoprazole 15 MG Delayed Release Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
Mebendazole 100 MG Chewable Tablet,ANTINEMATODAL AGENTS
tedizolid phosphate 200 MG Oral Tablet [Sivextro],OTHER ANTIBACTERIALS in ATC
streptomycin 1000 MG Injection,AMINOGLYCOSIDE ANTIBACTERIALS
Promethazine Hydrochloride 1.25 MG/ML Oral Solution,ANTIHISTAMINES FOR SYSTEMIC USE
hypromellose 3 MG/ML Ophthalmic Solution [GenTeal],OTHER OPHTHALMOLOGICALS IN ATC
doripenem 50 MG/ML Injectable Solution [DORIBAX],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
hydroxyprogesterone caproate (USP) 250 MG/ML Injectable Solution [Makena],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
30 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine],LOCAL ANESTHETICS
Tropicamide 5 MG/ML Ophthalmic Solution [Mydriacyl],MYDRIATICS AND CYCLOPLEGICS
influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.03 MG/ML Injectable Suspension,ALL OTHER THERAPEUTIC PRODUCTS
30 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 15 MG/ML Injection,LOCAL ANESTHETICS
84 HR Estradiol 0.00208 MG/HR / norethindrone acetate 0.00583 MG/HR Transdermal System [Combipatch],PROGESTOGENS AND ESTROGENS IN COMBINATION
Milrinone 0.2 MG/ML Injectable Solution [Primacor],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
risperidone 1 MG/ML Oral Solution [Risperdal],ANTIPSYCHOTICS
tretinoin 0.5 MG/ML Topical Cream,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Bromocriptine 2.5 MG Oral Tablet [Parlodel],OTHER GYNECOLOGICALS in ATC
darunavir 100 MG/ML Oral Suspension [Prezista],DIRECT ACTING ANTIVIRALS
Tromethamine 36 MG/ML Injectable Solution [Tham brand of tromethamine],"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
168 HR estradiol 0.00417 MG/HR Transdermal System [Climara],"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM"
temozolomide 100 MG Oral Capsule [Temodar],ALKYLATING AGENTS
temozolomide 20 MG Oral Capsule [Temodar],ALKYLATING AGENTS
240 ACTUAT Triamcinolone Acetonide 0.075 MG/ACTUAT Metered Dose Inhaler [Azmacort],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
20 ML sodium acetate 2 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
0.5 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe [Aranesp],OTHER ANTIANEMIC PREPARATIONS in ATC
cobicistat 150 MG / elvitegravir 150 MG / emtricitabine 200 MG / tenofovir alafenamide 10 MG Oral Tablet [Genvoya],DIRECT ACTING ANTIVIRALS
Tranexamic Acid 650 MG Oral Tablet [Lysteda],ANTIFIBRINOLYTICS
10 ML Clonidine Hydrochloride 0.1 MG/ML Injection,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
zafirlukast 20 MG Oral Tablet,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
nabumetone 500 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
imipramine hydrochloride 10 MG Oral Tablet,ANTIDEPRESSANTS
24 HR tacrolimus 0.75 MG Extended Release Oral Tablet [Envarsus],IMMUNOSUPPRESSANTS
24 HR tacrolimus 1 MG Extended Release Oral Tablet [Envarsus],IMMUNOSUPPRESSANTS
1 ML liothyronine sodium 0.01 MG/ML Injection,THYROID PREPARATIONS
1 ML meperidine hydrochloride 100 MG/ML Cartridge [Demerol],OPIOID ANALGESICS
Morphine Sulfate 1 MG/ML Injectable Solution [Duramorph],OPIOID ANALGESICS
Nortriptyline 2 MG/ML Oral Solution [Pamelor],ANTIDEPRESSANTS
moxifloxacin 400 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
Acyclovir 800 MG Oral Tablet [Zovirax],DIRECT ACTING ANTIVIRALS
Divalproex Sodium 125 MG Enteric Coated Tablet [Depakote],ANTIEPILEPTICS
Hydrocortisone 10 MG/ML / Iodoquinol 10 MG/ML Topical Cream,"CORTICOSTEROIDS, OTHER COMBINATIONS"
asenapine 5 MG Sublingual Tablet [Saphris],ANTIPSYCHOTICS
asenapine 10 MG Sublingual Tablet [Saphris],ANTIPSYCHOTICS
3 ML insulin degludec 100 UNT/ML Pen Injector [Tresiba],INSULINS AND ANALOGUES
iodine 50 MG/ML / potassium iodide 100 MG/ML Oral Solution,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
praziquantel 600 MG Oral Tablet [Biltricide],ANTITREMATODALS
Atracurium Besylate 10 MG/ML Injectable Solution [Tracrium],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
temozolomide 180 MG Oral Capsule [Temodar],ALKYLATING AGENTS
zileuton 600 MG Oral Tablet [Zyflo],ALL OTHER THERAPEUTIC PRODUCTS
12 HR zileuton 600 MG Extended Release Tablet [Zyflo],ALL OTHER THERAPEUTIC PRODUCTS
Hydrocortisone 10 MG/ML Topical Lotion [Hydroskin],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
atomoxetine 18 MG Oral Capsule [Strattera],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
24 HR levomilnacipran 40 MG Extended Release Oral Capsule [Fetzima],ALL OTHER THERAPEUTIC PRODUCTS
Bleomycin 15 UNT/ML Injectable Solution,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
medroxyprogesterone acetate 2.5 MG Oral Tablet,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
Demeclocycline Hydrochloride 300 MG Oral Tablet [Declomycin],Tetracycline antibiotics
Demeclocycline Hydrochloride 150 MG Oral Tablet [Declomycin],Tetracycline antibiotics
Atazanavir 100 MG Oral Capsule [Reyataz],DIRECT ACTING ANTIVIRALS
dexamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
4 ML bevacizumab 25 MG/ML Injection [Avastin],OTHER ANTINEOPLASTIC AGENTS in ATC
5000 MG testosterone 0.01 MG/MG Topical Gel,ANDROGENS
clindamycin 10 MG/ML Topical Solution [Cleocin-T],ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Didanosine 400 MG Delayed Release Oral Capsule,DIRECT ACTING ANTIVIRALS
nelfinavir 250 MG Oral Tablet [Viracept],DIRECT ACTING ANTIVIRALS
urea 200 MG/ML Topical Cream,EMOLLIENTS AND PROTECTIVES
disulfiram 250 MG Oral Tablet,DRUGS USED IN ADDICTIVE DISORDERS
prednisolone acetate 10 MG/ML Ophthalmic Suspension [Omnipred],"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
Nystatin 100 UNT/MG Topical Powder [Mycostatin Topical],ANTIFUNGALS FOR TOPICAL USE
clonazepam 0.125 MG Disintegrating Oral Tablet,ANTIEPILEPTICS
1.5 ML leuprolide acetate 15 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
urea 200 MG/ML Topical Cream [Ureacin-20],EMOLLIENTS AND PROTECTIVES
Morphine Sulfate 20 MG Rectal Suppository [RMS],OPIOID ANALGESICS
glyburide 2.5 MG / metformin hydrochloride 500 MG Oral Tablet [Glucovance],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
"100 ML immunoglobulin G, human 100 MG/ML Injection [Flebogamma]",IMMUNOGLOBULINS
pralidoxime chloride 1000 MG Injection [Protopam],ALL OTHER THERAPEUTIC PRODUCTS
benzoyl peroxide 50 MG/ML Medicated Liquid Soap [Desquam],ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Mephobarbital 50 MG Oral Tablet [Mebaral],ANTIEPILEPTICS
Mephobarbital 50 MG Oral Tablet,ANTIEPILEPTICS
bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
10 ML clonidine hydrochloride 0.5 MG/ML Injection [Duraclon],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
Hydromorphone Hydrochloride 10 MG/ML Injectable Solution [Dilaudid],OPIOID ANALGESICS
Oxymorphone Hydrochloride 1 MG/ML Injectable Solution [Numorphan],OPIOID ANALGESICS
1 ML oxymorphone hydrochloride 1 MG/ML Injection [Opana],OPIOID ANALGESICS
MG217 MEDICATED TAR SHAMPOO,ALL OTHER THERAPEUTIC PRODUCTS
pioglitazone 45 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
Caffeine 100 MG / Ergotamine 1 MG Oral Tablet [Cafergot],ANTIMIGRAINE PREPARATIONS
Sotalol Hydrochloride 80 MG Oral Tablet [Betapace],BETA BLOCKING AGENTS
cefepime 280 MG/ML Injectable Solution [Maxipime],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
valproic acid 50 MG/ML Oral Solution [Depakene],ANTIEPILEPTICS
ethacrynate sodium 50 MG Injection,HIGH-CEILING DIURETICS
oxacillin 1000 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
1 ML dihydroergotamine mesylate 1 MG/ML Injection,ANTIMIGRAINE PREPARATIONS
methadone hydrochloride 40 MG Tablet for Oral Suspension [Methadose],DRUGS USED IN ADDICTIVE DISORDERS
isosorbide dinitrate 40 MG Extended Release Oral Capsule [Dilatrate],VASODILATORS USED IN CARDIAC DISEASES
carbidopa 25 MG / levodopa 250 MG Disintegrating Oral Tablet,DOPAMINERGIC AGENTS
"5 ML lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection [ATGAM]",IMMUNOSUPPRESSANTS
eltrombopag 75 MG Oral Tablet [Promacta],VITAMIN K AND OTHER HEMOSTATICS
nonacog alfa 1 UNT Injection [BeneFIX],VITAMIN K AND OTHER HEMOSTATICS
12 HR chlorpheniramine polistirex 1.6 MG/ML / hydrocodone polistirex 2 MG/ML Extended Release Suspension,ANTIHISTAMINES FOR SYSTEMIC USE
lactic acid 50 MG/ML Topical Lotion [Lac-Hydrin],ALL OTHER THERAPEUTIC PRODUCTS
Ampicillin 50 MG/ML Oral Suspension,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
"200 ML Immunoglobulin G, Human 50 MG/ML Injection [Octagam]",IMMUNOGLOBULINS
Levocarnitine 500 MG Oral Capsule,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC
estradiol 1 MG Oral Tablet,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM"
Ethacrynate 1 MG/ML Injectable Solution [Edecrin Sodium],HIGH-CEILING DIURETICS
propafenone hydrochloride 150 MG Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
Lindane 10 MG/ML Medicated Shampoo,"ECTOPARASITICIDES, INCL. SCABICIDES"
Milk thistle extract 175 MG Oral Capsule,ALL OTHER THERAPEUTIC PRODUCTS
tiagabine hydrochloride 16 MG Oral Tablet [Gabitril],ANTIEPILEPTICS
cyclopentolate hydrochloride 10 MG/ML Ophthalmic Solution [Cyclogyl],MYDRIATICS AND CYCLOPLEGICS
Mitoxantrone 2 MG/ML Injectable Solution [Novantrone],CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
EGG YOLK PHOSPHOLIPIDS 12 MG/ML / Glycerin 22.5 MG/ML / Soybean Oil 100 MG/ML Injectable Suspension [Intralipid],ALL OTHER THERAPEUTIC PRODUCTS
Cimetidine 6 MG/ML Injectable Solution,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
theophylline 5.33 MG/ML Oral Solution [Elixophyllin],OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
Buprenorphine 2 MG / Naloxone 0.5 MG Sublingual Tablet [Suboxone],DRUGS USED IN ADDICTIVE DISORDERS
lepirudin 50 MG/ML Injectable Solution [Refludan],ANTITHROMBOTIC AGENTS
ovine digoxin immune fab 40 MG Injection [DigiFab],ALL OTHER THERAPEUTIC PRODUCTS
deferoxamine mesylate 500 MG Injection,ALL OTHER THERAPEUTIC PRODUCTS
Sirolimus 2 MG Oral Tablet [Rapamune],IMMUNOSUPPRESSANTS
oxcarbazepine 150 MG Oral Tablet [Trileptal],ANTIEPILEPTICS
dexrazoxane 500 MG Injection,ALL OTHER THERAPEUTIC PRODUCTS
EGG YOLK PHOSPHOLIPIDS 12 MG/ML / Glycerin 25 MG/ML / Safflower Oil 100 MG/ML / Soybean Oil 100 MG/ML Injectable Suspension [Liposyn II],ALL OTHER THERAPEUTIC PRODUCTS
100 ML zoledronic acid 0.04 MG/ML Injection,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
Octreotide 20 MG Injection [Sandostatin],HYPOTHALAMIC HORMONES
balsalazide disodium 750 MG Oral Capsule [Colazal],INTESTINAL ANTIINFLAMMATORY AGENTS
30 ML bupivacaine hydrochloride 2.5 MG/ML Injection [Sensorcaine],LOCAL ANESTHETICS
10 ML bupivacaine hydrochloride 2.5 MG/ML Injection,LOCAL ANESTHETICS
thioridazine 25 MG Oral Tablet,ANTIPSYCHOTICS
Urea 400 MG/ML Topical Cream [X-Viate],EMOLLIENTS AND PROTECTIVES
sulfasalazine 500 MG Delayed Release Oral Tablet [Azulfidine],INTESTINAL ANTIINFLAMMATORY AGENTS
enfuvirtide 90 MG Injection [Fuzeon],DIRECT ACTING ANTIVIRALS
oxcarbazepine 60 MG/ML Oral Suspension [Trileptal],ANTIEPILEPTICS
sulfacetamide sodium 100 MG/ML Ophthalmic Solution,ANTIINFECTIVE OPHTHALMOLOGICS
thiothixene 1 MG Oral Capsule,ANTIPSYCHOTICS
bacitracin 0.5 UNT/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Polycin],"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
Danazol 200 MG Oral Capsule [Danocrine],OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC
finasteride 1 MG Oral Tablet,OTHER DERMATOLOGICAL PREPARATIONS in ATC
20 ML daratumumab 20 MG/ML Injection [Darzalex],OTHER ANTINEOPLASTIC AGENTS in ATC
ivabradine 5 MG Oral Tablet [Corlanor],OTHER CARDIAC PREPARATIONS in ATC
triamcinolone acetonide 40 MG/ML Injectable Suspension [Kenalog],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
5 ML sugammadex 100 MG/ML Injection [Bridion],ALL OTHER THERAPEUTIC PRODUCTS
50 ML dibasic potassium phosphate 236 MG/ML / monobasic potassium phosphate 224 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
5 ML fentanyl 0.05 MG/ML Injection,"ANESTHETICS, GENERAL"
hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
60 ACTUAT Fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
cefotaxime 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
homatropine hydrobromide 50 MG/ML Ophthalmic Solution [Homatropaire],MYDRIATICS AND CYCLOPLEGICS
erlotinib 100 MG Oral Tablet [Tarceva],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
5 ML brivaracetam 10 MG/ML Injection [Briviact],ANTIEPILEPTICS
26 ML ustekinumab 5 MG/ML Injection [Stelara],IMMUNOSUPPRESSANTS
pyridostigmine bromide 180 MG Extended Release Oral Tablet [Mestinon],PARASYMPATHOMIMETICS
choline salicylate 440 MG / magnesium salicylate 544 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
choline salicylate 293 MG / magnesium salicylate 362 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
"factor VIII, human 1 UNT / von Willebrand factor, human 1 UNT Injection [Humate-P]",VITAMIN K AND OTHER HEMOSTATICS
thiotepa 15 MG Injection,ALKYLATING AGENTS
